id,text_snippet,labels,cleaned_text,extracted_entities
1,The renewal cost is higher than we expected. Can it be negotiable?,"Objection, Pricing Discussion",renewal cost higher expected negotiable,"[{'type': 'pricing_keywords', 'value': 'renewal cost'}, {'type': 'pricing', 'value': 'renewal cost'}]"
2,Trends show that CompetitorZ is more secure compared to CompetitorY.,Competition,trends show competitorz secure compared competitory,"[{'type': 'competitors', 'value': 'CompetitorY'}, {'type': 'competitors', 'value': 'CompetitorZ'}, {'type': 'competitor', 'value': 'CompetitorZ'}, {'type': 'competitor', 'value': 'CompetitorY'}]"
3,Does your AI engine support all our needs?,Objection,ai engine support needs,"[{'type': 'features', 'value': 'AI engine'}, {'type': 'feature', 'value': 'AI engine'}]"
4,"We love the analytics, but CompetitorX has a cheaper subscription.","Objection, Competition",love analytics competitorx cheaper subscription,"[{'type': 'competitors', 'value': 'CompetitorX'}, {'type': 'features', 'value': 'analytics'}, {'type': 'competitor', 'value': 'CompetitorX'}, {'type': 'feature', 'value': 'analytics'}]"
5,Our compliance team is worried about data handling. Are you SOC2 certified?,Security,compliance team worried data handling soc2 certified,[]
6,The renewal cost is higher than we expected. Can it be negotiable?,"Pricing Discussion, Objection",renewal cost higher expected negotiable,"[{'type': 'pricing_keywords', 'value': 'renewal cost'}, {'type': 'pricing', 'value': 'renewal cost'}]"
7,The AI engine feature is impressive.,Competition,ai engine feature impressive,"[{'type': 'features', 'value': 'AI engine'}, {'type': 'feature', 'value': 'AI engine'}]"
8,"We love the analytics, but CompetitorX has a cheaper subscription.","Objection, Pricing Discussion",love analytics competitorx cheaper subscription,"[{'type': 'competitors', 'value': 'CompetitorX'}, {'type': 'features', 'value': 'analytics'}, {'type': 'competitor', 'value': 'CompetitorX'}, {'type': 'feature', 'value': 'analytics'}]"
9,Our data needs top-notch security. Can you provide us with that?,Security,data needs topnotch security provide us,[]
10,Does your AI engine support all our needs?,Objection,ai engine support needs,"[{'type': 'features', 'value': 'AI engine'}, {'type': 'feature', 'value': 'AI engine'}]"
11,How secure is the data pipeline of each of the competitors?,"Security, Competition",secure data pipeline competitors,"[{'type': 'features', 'value': 'data pipeline'}, {'type': 'competitor', 'value': 'competitors'}, {'type': 'feature', 'value': 'data pipeline'}]"
12,Our data needs top-notch security. Can you provide us with that?,Security,data needs topnotch security provide us,[]
13,The AI engine feature is impressive.,Competition,ai engine feature impressive,"[{'type': 'features', 'value': 'AI engine'}, {'type': 'feature', 'value': 'AI engine'}]"
14,Can we get a discount on renewal cost?,"Objection, Pricing Discussion",get discount renewal cost,"[{'type': 'pricing_keywords', 'value': 'discount'}, {'type': 'pricing_keywords', 'value': 'renewal cost'}, {'type': 'pricing', 'value': 'discount'}, {'type': 'pricing', 'value': 'renewal cost'}]"
15,CompetitorX's analytics include advanced prediction. Can you provide that?,Competition,competitorxs analytics include advanced prediction provide,"[{'type': 'competitors', 'value': 'CompetitorX'}, {'type': 'features', 'value': 'analytics'}, {'type': 'competitor', 'value': 'CompetitorX'}, {'type': 'feature', 'value': 'analytics'}]"
16,CompetitorY is offering a discount for first-time customers.,Competition,competitory offering discount firsttime customers,"[{'type': 'competitors', 'value': 'CompetitorY'}, {'type': 'pricing_keywords', 'value': 'discount'}, {'type': 'competitor', 'value': 'CompetitorY'}, {'type': 'pricing', 'value': 'discount'}]"
17,How secure is the data pipeline of each of the competitors?,Security,secure data pipeline competitors,"[{'type': 'features', 'value': 'data pipeline'}, {'type': 'competitor', 'value': 'competitors'}, {'type': 'feature', 'value': 'data pipeline'}]"
18,CompetitorX's analytics include advanced prediction. Can you provide that?,Competition,competitorxs analytics include advanced prediction provide,"[{'type': 'competitors', 'value': 'CompetitorX'}, {'type': 'features', 'value': 'analytics'}, {'type': 'competitor', 'value': 'CompetitorX'}, {'type': 'feature', 'value': 'analytics'}]"
19,Can we get a discount on renewal cost?,"Pricing Discussion, Objection",get discount renewal cost,"[{'type': 'pricing_keywords', 'value': 'discount'}, {'type': 'pricing_keywords', 'value': 'renewal cost'}, {'type': 'pricing', 'value': 'discount'}, {'type': 'pricing', 'value': 'renewal cost'}]"
20,Our compliance team is worried about data handling. Are you SOC2 certified?,Security,compliance team worried data handling soc2 certified,[]
21,CompetitorX's analytics include advanced prediction. Can you provide that?,Competition,competitorxs analytics include advanced prediction provide,"[{'type': 'competitors', 'value': 'CompetitorX'}, {'type': 'features', 'value': 'analytics'}, {'type': 'competitor', 'value': 'CompetitorX'}, {'type': 'feature', 'value': 'analytics'}]"
22,Does your AI engine support all our needs?,Objection,ai engine support needs,"[{'type': 'features', 'value': 'AI engine'}, {'type': 'feature', 'value': 'AI engine'}]"
23,The AI engine feature is impressive.,Competition,ai engine feature impressive,"[{'type': 'features', 'value': 'AI engine'}, {'type': 'feature', 'value': 'AI engine'}]"
24,Can you adjust the price according to our budget?,Pricing Discussion,adjust price according budget,"[{'type': 'pricing_keywords', 'value': 'budget'}, {'type': 'pricing', 'value': 'budget'}]"
25,Trends show that CompetitorZ is more secure compared to CompetitorY.,Security,trends show competitorz secure compared competitory,"[{'type': 'competitors', 'value': 'CompetitorY'}, {'type': 'competitors', 'value': 'CompetitorZ'}, {'type': 'competitor', 'value': 'CompetitorZ'}, {'type': 'competitor', 'value': 'CompetitorY'}]"
26,CompetitorX's analytics include advanced prediction. Can you provide that?,Competition,competitorxs analytics include advanced prediction provide,"[{'type': 'competitors', 'value': 'CompetitorX'}, {'type': 'features', 'value': 'analytics'}, {'type': 'competitor', 'value': 'CompetitorX'}, {'type': 'feature', 'value': 'analytics'}]"
27,We are evaluating pricing models from multiple competitors.,"Pricing Discussion, Competition",evaluating pricing models multiple competitors,"[{'type': 'pricing_keywords', 'value': 'pricing model'}, {'type': 'competitor', 'value': 'competitors'}]"
28,Can you adjust the price according to our budget?,Pricing Discussion,adjust price according budget,"[{'type': 'pricing_keywords', 'value': 'budget'}, {'type': 'pricing', 'value': 'budget'}]"
29,Does your AI engine support all our needs?,Objection,ai engine support needs,"[{'type': 'features', 'value': 'AI engine'}, {'type': 'feature', 'value': 'AI engine'}]"
30,The AI engine feature is impressive.,Competition,ai engine feature impressive,"[{'type': 'features', 'value': 'AI engine'}, {'type': 'feature', 'value': 'AI engine'}]"
31,Does your AI engine support all our needs?,Objection,ai engine support needs,"[{'type': 'features', 'value': 'AI engine'}, {'type': 'feature', 'value': 'AI engine'}]"
32,How secure is the data pipeline of each of the competitors?,Competition,secure data pipeline competitors,"[{'type': 'features', 'value': 'data pipeline'}, {'type': 'competitor', 'value': 'competitors'}, {'type': 'feature', 'value': 'data pipeline'}]"
