id,text_snippet,labels,cleaned_text
1,The renewal cost is higher than we expected. Can it be negotiable?,"Objection, Pricing Discussion",renewal cost higher expected negotiable
2,Trends show that CompetitorZ is more secure compared to CompetitorY.,Competition,trends show competitorz secure compared competitory
3,Does your AI engine support all our needs?,Objection,ai engine support needs
4,"We love the analytics, but CompetitorX has a cheaper subscription.","Objection, Competition",love analytics competitorx cheaper subscription
5,Our compliance team is worried about data handling. Are you SOC2 certified?,Security,compliance team worried data handling soc2 certified
6,The renewal cost is higher than we expected. Can it be negotiable?,"Pricing Discussion, Objection",renewal cost higher expected negotiable
7,The AI engine feature is impressive.,Competition,ai engine feature impressive
8,"We love the analytics, but CompetitorX has a cheaper subscription.","Objection, Pricing Discussion",love analytics competitorx cheaper subscription
9,Our data needs top-notch security. Can you provide us with that?,Security,data needs topnotch security provide us
10,Does your AI engine support all our needs?,Objection,ai engine support needs
11,How secure is the data pipeline of each of the competitors?,"Security, Competition",secure data pipeline competitors
12,Our data needs top-notch security. Can you provide us with that?,Security,data needs topnotch security provide us
13,The AI engine feature is impressive.,Competition,ai engine feature impressive
14,Can we get a discount on renewal cost?,"Objection, Pricing Discussion",get discount renewal cost
15,CompetitorX's analytics include advanced prediction. Can you provide that?,Competition,competitorxs analytics include advanced prediction provide
16,CompetitorY is offering a discount for first-time customers.,Competition,competitory offering discount firsttime customers
17,How secure is the data pipeline of each of the competitors?,Security,secure data pipeline competitors
18,CompetitorX's analytics include advanced prediction. Can you provide that?,Competition,competitorxs analytics include advanced prediction provide
19,Can we get a discount on renewal cost?,"Pricing Discussion, Objection",get discount renewal cost
20,Our compliance team is worried about data handling. Are you SOC2 certified?,Security,compliance team worried data handling soc2 certified
21,CompetitorX's analytics include advanced prediction. Can you provide that?,Competition,competitorxs analytics include advanced prediction provide
22,Does your AI engine support all our needs?,Objection,ai engine support needs
23,The AI engine feature is impressive.,Competition,ai engine feature impressive
24,Can you adjust the price according to our budget?,Pricing Discussion,adjust price according budget
25,Trends show that CompetitorZ is more secure compared to CompetitorY.,Security,trends show competitorz secure compared competitory
26,CompetitorX's analytics include advanced prediction. Can you provide that?,Competition,competitorxs analytics include advanced prediction provide
27,We are evaluating pricing models from multiple competitors.,"Pricing Discussion, Competition",evaluating pricing models multiple competitors
28,Can you adjust the price according to our budget?,Pricing Discussion,adjust price according budget
29,Does your AI engine support all our needs?,Objection,ai engine support needs
30,The AI engine feature is impressive.,Competition,ai engine feature impressive
31,Does your AI engine support all our needs?,Objection,ai engine support needs
32,How secure is the data pipeline of each of the competitors?,Competition,secure data pipeline competitors
33,The renewal cost is higher than we expected. Can it be negotiable?,Objection,renewal cost higher expected negotiable
34,Our compliance team is worried about data handling. Are you SOC2 certified?,Security,compliance team worried data handling soc2 certified
35,Our data needs top-notch security. Can you provide us with that?,Security,data needs topnotch security provide us
36,Our compliance team is worried about data handling. Are you SOC2 certified?,Security,compliance team worried data handling soc2 certified
37,CompetitorX's analytics include advanced prediction. Can you provide that?,Competition,competitorxs analytics include advanced prediction provide
38,Trends show that CompetitorZ is more secure compared to CompetitorY.,"Competition, Security",trends show competitorz secure compared competitory
39,We are evaluating pricing models from multiple competitors.,Competition,evaluating pricing models multiple competitors
40,Can we get a discount on renewal cost?,"Objection, Pricing Discussion",get discount renewal cost
41,The renewal cost is higher than we expected. Can it be negotiable?,"Pricing Discussion, Objection",renewal cost higher expected negotiable
42,How secure is the data pipeline of each of the competitors?,Security,secure data pipeline competitors
43,Can you adjust the price according to our budget?,"Objection, Pricing Discussion",adjust price according budget
44,Our data needs top-notch security. Can you provide us with that?,Security,data needs topnotch security provide us
45,We are evaluating pricing models from multiple competitors.,Competition,evaluating pricing models multiple competitors
46,Our data needs top-notch security. Can you provide us with that?,Security,data needs topnotch security provide us
47,Our compliance team is worried about data handling. Are you SOC2 certified?,Security,compliance team worried data handling soc2 certified
48,We are evaluating pricing models from multiple competitors.,Competition,evaluating pricing models multiple competitors
49,How secure is the data pipeline of each of the competitors?,Competition,secure data pipeline competitors
50,How secure is the data pipeline of each of the competitors?,"Competition, Security",secure data pipeline competitors
51,"We love the analytics, but CompetitorX has a cheaper subscription.","Pricing Discussion, Objection, Competition",love analytics competitorx cheaper subscription
52,"We love the analytics, but CompetitorX has a cheaper subscription.",Competition,love analytics competitorx cheaper subscription
53,CompetitorY is offering a discount for first-time customers.,"Pricing Discussion, Competition",competitory offering discount firsttime customers
54,"We love the analytics, but CompetitorX has a cheaper subscription.","Competition, Pricing Discussion",love analytics competitorx cheaper subscription
55,Can we get a discount on renewal cost?,Objection,get discount renewal cost
56,Does your AI engine support all our needs?,Objection,ai engine support needs
