id,text_snippet,labels,cleaned_text
131,ai engine support needs,Objection,ai engine support needs
125,Our data needs top-notch security. Can you provide us with that?,Security,data needs topnotch security provide us
34,Our compliance team is worried about data handling. Are you SOC2 certified?,Security,compliance team worried data handling soc2 certified
87,How secure is the data pipeline of each of the competitors?,Competition,secure data pipeline competitors
135,data needs topnotch security provide us,Security,data needs topnotch security provide us
86,data needs topnotch security provide us,Security,data needs topnotch security provide us
38,Trends show that CompetitorZ is more secure compared to CompetitorY.,"Competition, Security",trends show competitorz secure compared competitory
141,The AI engine feature is impressive.,Competition,ai engine feature impressive
17,How secure is the data pipeline of each of the competitors?,Security,secure data pipeline competitors
51,love analytics competitorx cheaper subscription,Objection,love analytics competitorx cheaper subscription
113,adjust price according budget,Objection,adjust price according budget
68,We are evaluating pricing models from multiple competitors.,Pricing Discussion,evaluating pricing models multiple competitors
133,Our data needs top-notch security. Can you provide us with that?,Security,data needs topnotch security provide us
5,compliance team worried data handling soc2 certified,Security,compliance team worried data handling soc2 certified
116,Trends show that CompetitorZ is more secure compared to CompetitorY.,Competition,trends show competitorz secure compared competitory
138,CompetitorX's analytics include advanced prediction. Can you provide that?,Competition,competitorxs analytics include advanced prediction provide
134,adjust price according budget,Pricing Discussion,adjust price according budget
78,Our data needs top-notch security. Can you provide us with that?,Security,data needs topnotch security provide us
19,Can we get a discount on renewal cost?,"Pricing Discussion, Objection",get discount renewal cost
51,love analytics competitorx cheaper subscription,Pricing Discussion,love analytics competitorx cheaper subscription
79,data needs topnotch security provide us,Security,data needs topnotch security provide us
94,Can you adjust the price according to our budget?,"Objection, Pricing Discussion",adjust price according budget
120,"We love the analytics, but CompetitorX has a cheaper subscription.","Pricing Discussion, Objection, Competition",love analytics competitorx cheaper subscription
93,We are evaluating pricing models from multiple competitors.,Competition,evaluating pricing models multiple competitors
28,adjust price according budget,Pricing Discussion,adjust price according budget
56,Does your AI engine support all our needs?,Objection,ai engine support needs
130,ai engine support needs,Objection,ai engine support needs
70,love analytics competitorx cheaper subscription,Pricing Discussion,love analytics competitorx cheaper subscription
39,We are evaluating pricing models from multiple competitors.,Competition,evaluating pricing models multiple competitors
24,adjust price according budget,Pricing Discussion,adjust price according budget
144,Does your AI engine support all our needs?,Objection,ai engine support needs
58,Can you adjust the price according to our budget?,Pricing Discussion,adjust price according budget
139,data needs topnotch security provide us,Security,data needs topnotch security provide us
81,renewal cost higher expected negotiable,Pricing Discussion,renewal cost higher expected negotiable
35,data needs topnotch security provide us,Security,data needs topnotch security provide us
32,How secure is the data pipeline of each of the competitors?,Competition,secure data pipeline competitors
134,adjust price according budget,Objection,adjust price according budget
